id,stacnotator_label_name
576,Cropland
577,Cropland
578,Non-cropland
579,Cropland
580,Cropland
581,Cropland
582,Non-cropland
583,Cropland
584,Cropland
585,Non-cropland
586,Non-cropland
587,Cropland
588,Non-cropland
589,Non-cropland
590,Cropland
591,Cropland
592,Non-cropland
593,Cropland
594,Non-cropland
595,Non-cropland
596,Non-cropland
597,Non-cropland
598,Cropland
599,Cropland
600,Cropland
601,Cropland
602,Cropland
603,Cropland
604,Non-cropland
605,Cropland
606,Cropland
607,Cropland
608,Non-cropland
609,Cropland
610,Non-cropland
611,Non-cropland
612,Cropland
613,Cropland
614,Non-cropland
615,Non-cropland
616,Non-cropland
617,Cropland
618,Non-cropland
619,Cropland
620,Cropland
621,Cropland
622,Non-cropland
623,Cropland
624,Non-cropland
625,Non-cropland
626,Cropland
627,Cropland
628,Cropland
629,Cropland
630,Non-cropland
631,Cropland
632,Non-cropland
633,Cropland
634,Cropland
635,Non-cropland
636,Non-cropland
637,Non-cropland
638,Non-cropland
639,Cropland
640,Cropland
641,Non-cropland
642,Non-cropland
643,Cropland
644,Cropland
645,Cropland
646,Non-cropland
647,Non-cropland
648,Cropland
649,Non-cropland
650,Cropland
651,Cropland
652,Cropland
653,Non-cropland
654,Non-cropland
655,Cropland
656,Non-cropland
657,Non-cropland
658,Cropland
659,Cropland
660,Non-cropland
661,Non-cropland
662,Cropland
663,Non-cropland
664,Non-cropland
665,Cropland
666,Cropland
667,Cropland
668,Non-cropland
669,Non-cropland
670,Non-cropland
671,Cropland
672,Cropland
673,Non-cropland
674,Cropland
675,Cropland
676,Non-cropland
677,Non-cropland
678,Cropland
679,Non-cropland
680,Non-cropland
681,Cropland
682,Non-cropland
683,Non-cropland
684,Cropland
685,Non-cropland
686,Non-cropland
687,Non-cropland
688,Cropland
689,Cropland
690,Non-cropland
691,Cropland
692,Non-cropland
693,Non-cropland
694,Non-cropland
695,Non-cropland
696,Cropland
697,Cropland
698,Cropland
699,Cropland
700,Non-cropland
701,Non-cropland
702,Non-cropland
703,Non-cropland
704,Cropland
705,Non-cropland
706,Cropland
707,Non-cropland
708,Cropland
709,Non-cropland
710,Non-cropland
711,Cropland
712,Cropland
713,Cropland
714,Non-cropland
715,Non-cropland
716,Non-cropland
717,Non-cropland
718,Cropland
719,Non-cropland
720,Non-cropland
721,Cropland
722,Non-cropland
723,Non-cropland
724,Cropland
725,Non-cropland
726,Non-cropland
727,Non-cropland
728,Non-cropland
729,Non-cropland
730,Non-cropland
731,Non-cropland
732,Cropland
733,Cropland
734,Cropland
735,Cropland
736,Non-cropland
737,Non-cropland
738,Non-cropland
739,Cropland
740,Non-cropland
741,Non-cropland
742,Non-cropland
743,Cropland
744,Cropland
745,Cropland
746,Cropland
747,Cropland
748,Cropland
749,Cropland
750,Cropland
751,Cropland
752,Non-cropland
753,Non-cropland
754,Non-cropland
755,Cropland
756,Non-cropland
757,Non-cropland
758,Non-cropland
759,Non-cropland
760,Non-cropland
761,Non-cropland
762,Non-cropland
763,Non-cropland
764,Non-cropland
765,Non-cropland
766,Cropland
767,Cropland
768,Cropland
769,Cropland
770,Non-cropland
771,Non-cropland
772,Non-cropland
773,Non-cropland
774,Cropland
775,Cropland
776,Cropland
777,Non-cropland
778,Cropland
779,Cropland
780,Non-cropland
781,Non-cropland
782,Cropland
783,Cropland
784,Cropland
785,Non-cropland
786,Cropland
787,Non-cropland
788,Cropland
789,Non-cropland
790,Non-cropland
791,Cropland
792,Cropland
793,Cropland
794,Non-cropland
795,Cropland
796,Cropland
797,Non-cropland
798,Cropland
799,Non-cropland
